Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
TalkMed,5G3,TALK.SI,579.944,75.919,16.18,5.23,Healthcare Services,64
HRnetGroup,CHZ,HRNE.SI,485.475,423.081,9.19,5.83,Industrial & Commercial Services,64
Roxy-Pacific,E8Z,RXYP.SI,446.388,444.03,14.62,3.78,Real Estate,64
Kimly,1D0,KIML.SI,265.452,211.54,12.58,4.98,Cyclical Consumer Services,64
JB Foods,BEW,JBFO.SI,177.372,491.236,4.85,4.79,Food & Beverages,64
Lum Chang,L19,LUCS.SI,136.686,337.94,5.13,5.07,Industrial & Commercial Services,64
SingShipping,S19,SSHP.SI,109.255,65.041,8.13,4,Industrial Goods,64
Asian Pay Tv Tr,S7OU,ASIA.SI,229.407,298.722,10.28,9.45,Cyclical Consumer Services,63.2
Thomson Medical,A50,THOS.SI,1480.697,229.818,1866.67,,Healthcare Services,63
China Everbright,U9E,CEWL.SI,1219.193,998.059,3.79,6.44,Utilities,63
Sinarmas Land,A26,SINA.SI,796.131,1172.871,1.92,2.17,Real Estate,63
Mewah Intl,MV4,MEWI.SI,330.147,3926.126,20.34,2.09,Food & Beverages,63
Civmec,P9D,CIVM.SI,177.855,322.816,15.11,1.97,Industrial & Commercial Services,63
Challenger,573,CHAL.SI,160.522,329.57,9.11,3.23,Retailers,63
Bumitama Agri,P8Z,BUMI.SI,790.889,755.367,11.68,1.96,Food & Beverages,62
UMS,558,UMSH.SI,496.197,138.178,13.32,4.32,Technology Equipment,62
QAF,Q01,QAFS.SI,454.462,863.892,16.48,6.33,Food & Beverages,62
Chip Eng Seng,C29,CESE.SI,436.73,1055.045,10.82,7.55,Real Estate,62
Aspial,A30,ASPA.SI,311.343,560.242,24.39,4.69,Real Estate,62
Sheng Siong,OV8,SHEN.SI,2435.73,1068.582,28.63,2.19,Food & Drug Retailing,61
G K Goh,G41,GKHS.SI,243.608,116.926,30.66,2.67,Industrial & Commercial Services,61
PanUnited,P52,PANU.SI,214.109,768.258,10.27,5.25,Mineral Resources,61
CNMC Goldmine,5TP,CNMC.SI,93.769,54.488,15.14,1.74,Mineral Resources,61
HPH Trust USD,NS8U,HPHT.SI,940.799,1434.847,13.81,13.04,Transportation,60.1
Hi-P,H17,HIPI.SI,958.149,1367.669,10.87,2.59,Industrial Goods,60
Valuetronics,BN2,VLUE.SI,243.953,423.341,7.56,6.57,Technology Equipment,60
Japfa,UD2,JAPF.SI,1395.511,5475.627,6.33,1.48,Food & Beverages,59
Creative,C76,CREA.SI,225,79.028,,,Technology Equipment,59
Ezion,5ME,EZHL.SI,161.395,101.191,,,Energy - Fossil Fuels,59
Zhongmin Baihui,5SR,ZBRG.SI,117.792,207.146,11.19,5,Retailers,59
Yanlord Land,Z25,YNLG.SI,2357.971,3679.255,3.54,5.62,Real Estate,58
Tianjin ZX USD,T14,TIAN.SI,1610.542,975.406,8.13,,,58
Moya Asia,5WE,MOYA.SI,269.03,205.786,16.2,,Industrial & Commercial Services,58
Sunningdale Tech,BHQ,SUND.SI,187.143,673.79,23.68,8.21,Industrial Conglomerates,58
SingReinsurance,S49,SPRS.SI,166.435,107.943,16.95,4.73,Insurance,58
Wilton Resources,5F7,WILT.SI,89.66,0.428,,,Mineral Resources,58
